ano,uf,tema,item,quantidade_escola
2021,PA,Discriminação,Nunca,2671
2021,MS,Discriminação,Nunca,623
2021,RO,Discriminação,Nunca,561
2021,RR,Discriminação,Nunca,190
2021,PR,Discriminação,Nunca,3068
2021,AL,Discriminação,Nunca,1042
2021,RS,Discriminação,Nunca,2829
2021,GO,Discriminação,Nunca,1678
2021,BA,Discriminação,Nunca,4533
2021,ES,Discriminação,Nunca,864
2021,MT,Discriminação,Nunca,808
2021,AP,Discriminação,Nunca,290
2021,AC,Discriminação,Nunca,313
2021,RJ,Discriminação,Nunca,3198
2021,CE,Discriminação,Nunca,2913
2021,MA,Discriminação,Nunca,2993
2021,TO,Discriminação,Nunca,640
2021,AL,Discriminação,Poucas vezes,204
2021,DF,Discriminação,Poucas vezes,166
2021,MT,Discriminação,Poucas vezes,304
2021,RR,Discriminação,Poucas vezes,21
2021,GO,Discriminação,Poucas vezes,414
2021,RJ,Discriminação,Poucas vezes,556
2021,MA,Discriminação,Poucas vezes,498
2021,MG,Discriminação,Poucas vezes,907
2021,PI,Discriminação,Poucas vezes,205
2021,RO,Discriminação,Poucas vezes,71
2021,PB,Discriminação,Poucas vezes,147
2021,RS,Discriminação,Poucas vezes,774
2021,ES,Discriminação,Poucas vezes,279
2021,AC,Discriminação,Poucas vezes,62
2021,CE,Discriminação,Poucas vezes,429
2021,AM,Discriminação,Poucas vezes,206
2021,SP,Discriminação,Poucas vezes,2013
2021,PR,Discriminação,Poucas vezes,871
2021,BA,Discriminação,Poucas vezes,836
2021,RN,Discriminação,Poucas vezes,194
2021,AP,Discriminação,Poucas vezes,38
2021,SC,Discriminação,Poucas vezes,562
2021,PA,Discriminação,Poucas vezes,503
2021,SE,Discriminação,Poucas vezes,175
2021,PE,Discriminação,Poucas vezes,537
2021,MS,Discriminação,Poucas vezes,172
2021,TO,Discriminação,Poucas vezes,100
2021,ES,Discriminação,Sem resposta,231
2021,SC,Discriminação,Sem resposta,239
2021,PE,Discriminação,Sem resposta,469
2021,PI,Discriminação,Sem resposta,361
2021,RN,Discriminação,Sem resposta,302
2021,DF,Discriminação,Sem resposta,141
2021,RS,Discriminação,Sem resposta,613
2021,GO,Discriminação,Sem resposta,306
2021,MA,Discriminação,Sem resposta,737
2021,SE,Discriminação,Sem resposta,174
2021,AP,Discriminação,Sem resposta,100
2021,PA,Discriminação,Sem resposta,989
2021,AM,Discriminação,Sem resposta,510
2021,AC,Discriminação,Sem resposta,86
2021,MG,Discriminação,Sem resposta,822
2021,BA,Discriminação,Sem resposta,1108
2021,PB,Discriminação,Sem resposta,334
2021,MT,Discriminação,Sem resposta,194
2021,SP,Discriminação,Sem resposta,962
2021,RJ,Discriminação,Sem resposta,564
2021,AL,Discriminação,Sem resposta,247
2021,RR,Discriminação,Sem resposta,98
2021,TO,Discriminação,Sem resposta,107
2021,RO,Discriminação,Sem resposta,87
2021,CE,Discriminação,Sem resposta,466
2021,PR,Discriminação,Sem resposta,497
2021,MS,Discriminação,Sem resposta,143
2021,CE,Discriminação,Várias vezes,8
2021,RR,Discriminação,Várias vezes,
2021,SP,Discriminação,Várias vezes,71
2021,PA,Discriminação,Várias vezes,12
2021,AC,Discriminação,Várias vezes,2
2021,TO,Discriminação,Várias vezes,3
2021,AL,Discriminação,Várias vezes,2
2021,SC,Discriminação,Várias vezes,17
2021,PI,Discriminação,Várias vezes,5
2021,ES,Discriminação,Várias vezes,6
2021,MG,Discriminação,Várias vezes,11
2021,RJ,Discriminação,Várias vezes,13
2021,PR,Discriminação,Várias vezes,23
2021,SE,Discriminação,Várias vezes,5
2021,AP,Discriminação,Várias vezes,1
2021,MA,Discriminação,Várias vezes,13
2021,RO,Discriminação,Várias vezes,
2021,RS,Discriminação,Várias vezes,16
2021,DF,Discriminação,Várias vezes,7
2021,GO,Discriminação,Várias vezes,8
2021,MT,Discriminação,Várias vezes,8
2021,PB,Discriminação,Várias vezes,2
2021,PE,Discriminação,Várias vezes,13
2021,RN,Discriminação,Várias vezes,7
2021,BA,Discriminação,Várias vezes,23
2021,AM,Discriminação,Várias vezes,4
2021,MS,Discriminação,Várias vezes,4
2021,RJ,Lesão corporal,Nunca,3599
2021,PE,Lesão corporal,Nunca,2790
2021,RR,Lesão corporal,Nunca,207
2021,CE,Lesão corporal,Nunca,3274
2021,SC,Lesão corporal,Nunca,1847
2021,ES,Lesão corporal,Nunca,1026
2021,MS,Lesão corporal,Nunca,707
2021,RS,Lesão corporal,Nunca,3221
2021,SE,Lesão corporal,Nunca,907
2021,RN,Lesão corporal,Nunca,1294
2021,AC,Lesão corporal,Nunca,366
2021,DF,Lesão corporal,Nunca,490
2021,PI,Lesão corporal,Nunca,1825
2021,BA,Lesão corporal,Nunca,5214
2021,PR,Lesão corporal,Nunca,3530
2021,TO,Lesão corporal,Nunca,721
2021,MA,Lesão corporal,Nunca,3414
2021,SP,Lesão corporal,Nunca,8606
2021,PA,Lesão corporal,Nunca,3106
2021,MT,Lesão corporal,Nunca,1035
2021,AP,Lesão corporal,Nunca,323
2021,AM,Lesão corporal,Nunca,1169
2021,GO,Lesão corporal,Nunca,2007
2021,AL,Lesão corporal,Nunca,1200
2021,MG,Lesão corporal,Nunca,5649
2021,RO,Lesão corporal,Nunca,619
2021,PB,Lesão corporal,Nunca,1744
2021,PE,Lesão corporal,Poucas vezes,136
2021,SE,Lesão corporal,Poucas vezes,36
2021,AC,Lesão corporal,Poucas vezes,11
2021,SP,Lesão corporal,Poucas vezes,838
2021,GO,Lesão corporal,Poucas vezes,94
2021,MG,Lesão corporal,Poucas vezes,226
2021,AL,Lesão corporal,Poucas vezes,45
2021,PI,Lesão corporal,Poucas vezes,40
2021,RS,Lesão corporal,Poucas vezes,399
2021,PA,Lesão corporal,Poucas vezes,101
2021,AM,Lesão corporal,Poucas vezes,102
2021,SC,Lesão corporal,Poucas vezes,351
2021,RN,Lesão corporal,Poucas vezes,53
2021,ES,Lesão corporal,Poucas vezes,121
2021,PB,Lesão corporal,Poucas vezes,43
2021,CE,Lesão corporal,Poucas vezes,78
2021,RR,Lesão corporal,Poucas vezes,5
2021,MS,Lesão corporal,Poucas vezes,90
2021,PR,Lesão corporal,Poucas vezes,420
2021,MA,Lesão corporal,Poucas vezes,109
2021,AP,Lesão corporal,Poucas vezes,7
2021,RJ,Lesão corporal,Poucas vezes,175
2021,MT,Lesão corporal,Poucas vezes,85
2021,TO,Lesão corporal,Poucas vezes,22
2021,BA,Lesão corporal,Poucas vezes,193
2021,RO,Lesão corporal,Poucas vezes,17
2021,DF,Lesão corporal,Poucas vezes,56
2021,MA,Lesão corporal,Sem resposta,715
2021,SC,Lesão corporal,Sem resposta,232
2021,PI,Lesão corporal,Sem resposta,354
2021,AP,Lesão corporal,Sem resposta,99
2021,CE,Lesão corporal,Sem resposta,462
2021,AM,Lesão corporal,Sem resposta,513
2021,MS,Lesão corporal,Sem resposta,139
2021,PR,Lesão corporal,Sem resposta,487
2021,PE,Lesão corporal,Sem resposta,463
2021,SE,Lesão corporal,Sem resposta,170
2021,MG,Lesão corporal,Sem resposta,807
2021,SP,Lesão corporal,Sem resposta,938
2021,RN,Lesão corporal,Sem resposta,292
2021,TO,Lesão corporal,Sem resposta,106
2021,PA,Lesão corporal,Sem resposta,965
2021,GO,Lesão corporal,Sem resposta,302
2021,AL,Lesão corporal,Sem resposta,245
2021,RJ,Lesão corporal,Sem resposta,552
2021,RR,Lesão corporal,Sem resposta,97
2021,ES,Lesão corporal,Sem resposta,228
2021,RO,Lesão corporal,Sem resposta,82
2021,MT,Lesão corporal,Sem resposta,192
2021,PB,Lesão corporal,Sem resposta,331
2021,AC,Lesão corporal,Sem resposta,86
2021,BA,Lesão corporal,Sem resposta,1091
2021,DF,Lesão corporal,Sem resposta,139
2021,RS,Lesão corporal,Sem resposta,599
2021,AM,Lesão corporal,Várias vezes,
2021,PA,Lesão corporal,Várias vezes,3
2021,PR,Lesão corporal,Várias vezes,22
2021,SC,Lesão corporal,Várias vezes,5
2021,ES,Lesão corporal,Várias vezes,5
2021,MT,Lesão corporal,Várias vezes,2
2021,RJ,Lesão corporal,Várias vezes,5
2021,PI,Lesão corporal,Várias vezes,1
2021,TO,Lesão corporal,Várias vezes,1
2021,AC,Lesão corporal,Várias vezes,
2021,CE,Lesão corporal,Várias vezes,2
2021,RS,Lesão corporal,Várias vezes,13
2021,GO,Lesão corporal,Várias vezes,3
2021,RO,Lesão corporal,Várias vezes,1
2021,MA,Lesão corporal,Várias vezes,3
2021,MG,Lesão corporal,Várias vezes,4
2021,PE,Lesão corporal,Várias vezes,4
2021,SP,Lesão corporal,Várias vezes,17
2021,AP,Lesão corporal,Várias vezes,
2021,AL,Lesão corporal,Várias vezes,5
2021,DF,Lesão corporal,Várias vezes,3
2021,SE,Lesão corporal,Várias vezes,2
2021,RN,Lesão corporal,Várias vezes,
2021,RR,Lesão corporal,Várias vezes,
2021,PB,Lesão corporal,Várias vezes,1
2021,BA,Lesão corporal,Várias vezes,2
2021,MS,Lesão corporal,Várias vezes,6
2021,MT,Atentado à vida,Nunca,1059
2021,AM,Atentado à vida,Nunca,1201
2021,MA,Atentado à vida,Nunca,3379
2021,PB,Atentado à vida,Nunca,1731
2021,TO,Atentado à vida,Nunca,714
2021,CE,Atentado à vida,Nunca,3241
2021,PE,Atentado à vida,Nunca,2843
2021,MG,Atentado à vida,Nunca,5764
2021,BA,Atentado à vida,Nunca,5240
2021,MS,Atentado à vida,Nunca,764
2021,RS,Atentado à vida,Nunca,3448
2021,PA,Atentado à vida,Nunca,3065
2021,RN,Atentado à vida,Nunca,1279
2021,SC,Atentado à vida,Nunca,2079
2021,PI,Atentado à vida,Nunca,1798
2021,AP,Atentado à vida,Nunca,307
2021,SP,Atentado à vida,Nunca,9109
2021,RR,Atentado à vida,Nunca,202
2021,DF,Atentado à vida,Nunca,522
2021,GO,Atentado à vida,Nunca,2046
2021,PR,Atentado à vida,Nunca,3810
2021,RO,Atentado à vida,Nunca,612
2021,AL,Atentado à vida,Nunca,1219
2021,ES,Atentado à vida,Nunca,1094
2021,SE,Atentado à vida,Nunca,922
2021,AC,Atentado à vida,Nunca,364
2021,RJ,Atentado à vida,Nunca,3622
2021,BA,Atentado à vida,Poucas vezes,148
2021,RJ,Atentado à vida,Poucas vezes,144
2021,PA,Atentado à vida,Poucas vezes,120
2021,PB,Atentado à vida,Poucas vezes,53
2021,ES,Atentado à vida,Poucas vezes,54
2021,RN,Atentado à vida,Poucas vezes,57
2021,PE,Atentado à vida,Poucas vezes,80
2021,PR,Atentado à vida,Poucas vezes,149
2021,TO,Atentado à vida,Poucas vezes,27
2021,SE,Atentado à vida,Poucas vezes,21
2021,AL,Atentado à vida,Poucas vezes,28
2021,MG,Atentado à vida,Poucas vezes,104
2021,RO,Atentado à vida,Poucas vezes,25
2021,PI,Atentado à vida,Poucas vezes,66
2021,SC,Atentado à vida,Poucas vezes,122
2021,MS,Atentado à vida,Poucas vezes,36
2021,MT,Atentado à vida,Poucas vezes,58
2021,SP,Atentado à vida,Poucas vezes,336
2021,CE,Atentado à vida,Poucas vezes,104
2021,MA,Atentado à vida,Poucas vezes,131
2021,RR,Atentado à vida,Poucas vezes,9
2021,AM,Atentado à vida,Poucas vezes,70
2021,DF,Atentado à vida,Poucas vezes,28
2021,AC,Atentado à vida,Poucas vezes,12
2021,RS,Atentado à vida,Poucas vezes,178
2021,AP,Atentado à vida,Poucas vezes,20
2021,GO,Atentado à vida,Poucas vezes,58
2021,GO,Atentado à vida,Sem resposta,299
2021,PE,Atentado à vida,Sem resposta,466
2021,AC,Atentado à vida,Sem resposta,85
2021,MS,Atentado à vida,Sem resposta,139
2021,DF,Atentado à vida,Sem resposta,138
2021,RJ,Atentado à vida,Sem resposta,549
2021,SC,Atentado à vida,Sem resposta,229
2021,AP,Atentado à vida,Sem resposta,99
2021,PR,Atentado à vida,Sem resposta,484
2021,AM,Atentado à vida,Sem resposta,508
2021,MG,Atentado à vida,Sem resposta,803
2021,MA,Atentado à vida,Sem resposta,717
2021,RN,Atentado à vida,Sem resposta,294
2021,CE,Atentado à vida,Sem resposta,461
2021,PA,Atentado à vida,Sem resposta,962
2021,MT,Atentado à vida,Sem resposta,191
2021,RO,Atentado à vida,Sem resposta,82
2021,RR,Atentado à vida,Sem resposta,95
2021,SE,Atentado à vida,Sem resposta,169
2021,PB,Atentado à vida,Sem resposta,327
2021,AL,Atentado à vida,Sem resposta,245
2021,PI,Atentado à vida,Sem resposta,348
2021,BA,Atentado à vida,Sem resposta,1092
2021,TO,Atentado à vida,Sem resposta,105
2021,RS,Atentado à vida,Sem resposta,592
2021,SP,Atentado à vida,Sem resposta,933
2021,ES,Atentado à vida,Sem resposta,227
2021,PR,Atentado à vida,Várias vezes,16
2021,RN,Atentado à vida,Várias vezes,9
2021,TO,Atentado à vida,Várias vezes,4
2021,AP,Atentado à vida,Várias vezes,3
2021,BA,Atentado à vida,Várias vezes,20
2021,PE,Atentado à vida,Várias vezes,4
2021,MS,Atentado à vida,Várias vezes,3
2021,PB,Atentado à vida,Várias vezes,8
2021,AL,Atentado à vida,Várias vezes,3
2021,MA,Atentado à vida,Várias vezes,14
2021,CE,Atentado à vida,Várias vezes,10
2021,SP,Atentado à vida,Várias vezes,21
2021,DF,Atentado à vida,Várias vezes,
2021,RS,Atentado à vida,Várias vezes,14
2021,SC,Atentado à vida,Várias vezes,5
2021,AC,Atentado à vida,Várias vezes,2
2021,AM,Atentado à vida,Várias vezes,5
2021,SE,Atentado à vida,Várias vezes,3
2021,GO,Atentado à vida,Várias vezes,3
2021,ES,Atentado à vida,Várias vezes,5
2021,MT,Atentado à vida,Várias vezes,6
2021,PI,Atentado à vida,Várias vezes,8
2021,RJ,Atentado à vida,Várias vezes,16
2021,MG,Atentado à vida,Várias vezes,15
2021,PA,Atentado à vida,Várias vezes,28
2021,RR,Atentado à vida,Várias vezes,3
2021,RO,Atentado à vida,Várias vezes,
2021,MT,Tráfico de drogas,Nunca,1054
2021,RN,Tráfico de drogas,Nunca,1307
2021,SC,Tráfico de drogas,Nunca,2077
2021,SE,Tráfico de drogas,Nunca,921
2021,PE,Tráfico de drogas,Nunca,2744
2021,AC,Tráfico de drogas,Nunca,358
2021,BA,Tráfico de drogas,Nunca,5222
2021,GO,Tráfico de drogas,Nunca,1940
2021,MG,Tráfico de drogas,Nunca,5579
2021,SP,Tráfico de drogas,Nunca,8780
2021,DF,Tráfico de drogas,Nunca,472
2021,RO,Tráfico de drogas,Nunca,620
2021,MA,Tráfico de drogas,Nunca,3452
2021,AL,Tráfico de drogas,Nunca,1210
2021,PI,Tráfico de drogas,Nunca,1834
2021,PA,Tráfico de drogas,Nunca,3081
2021,AP,Tráfico de drogas,Nunca,318
2021,PR,Tráfico de drogas,Nunca,3695
2021,RR,Tráfico de drogas,Nunca,206
2021,PB,Tráfico de drogas,Nunca,1743
2021,ES,Tráfico de drogas,Nunca,1067
2021,MS,Tráfico de drogas,Nunca,761
2021,RS,Tráfico de drogas,Nunca,3466
2021,TO,Tráfico de drogas,Nunca,733
2021,CE,Tráfico de drogas,Nunca,3226
2021,AM,Tráfico de drogas,Nunca,1149
2021,RJ,Tráfico de drogas,Nunca,3555
2021,AC,Tráfico de drogas,Poucas vezes,16
2021,AL,Tráfico de drogas,Poucas vezes,39
2021,TO,Tráfico de drogas,Poucas vezes,11
2021,ES,Tráfico de drogas,Poucas vezes,79
2021,CE,Tráfico de drogas,Poucas vezes,112
2021,BA,Tráfico de drogas,Poucas vezes,159
2021,DF,Tráfico de drogas,Poucas vezes,68
2021,RJ,Tráfico de drogas,Poucas vezes,173
2021,MA,Tráfico de drogas,Poucas vezes,64
2021,MT,Tráfico de drogas,Poucas vezes,60
2021,SC,Tráfico de drogas,Poucas vezes,123
2021,AP,Tráfico de drogas,Poucas vezes,9
2021,PI,Tráfico de drogas,Poucas vezes,33
2021,PB,Tráfico de drogas,Poucas vezes,41
2021,RN,Tráfico de drogas,Poucas vezes,39
2021,SE,Tráfico de drogas,Poucas vezes,20
2021,RO,Tráfico de drogas,Poucas vezes,12
2021,AM,Tráfico de drogas,Poucas vezes,116
2021,PA,Tráfico de drogas,Poucas vezes,109
2021,MS,Tráfico de drogas,Poucas vezes,39
2021,GO,Tráfico de drogas,Poucas vezes,147
2021,MG,Tráfico de drogas,Poucas vezes,269
2021,RS,Tráfico de drogas,Poucas vezes,162
2021,SP,Tráfico de drogas,Poucas vezes,615
2021,PR,Tráfico de drogas,Poucas vezes,258
2021,PE,Tráfico de drogas,Poucas vezes,152
2021,RR,Tráfico de drogas,Poucas vezes,5
2021,DF,Tráfico de drogas,Sem resposta,139
2021,RR,Tráfico de drogas,Sem resposta,98
2021,TO,Tráfico de drogas,Sem resposta,106
2021,SC,Tráfico de drogas,Sem resposta,232
2021,SP,Tráfico de drogas,Sem resposta,947
2021,AP,Tráfico de drogas,Sem resposta,100
2021,AL,Tráfico de drogas,Sem resposta,244
2021,MT,Tráfico de drogas,Sem resposta,196
2021,PI,Tráfico de drogas,Sem resposta,351
2021,BA,Tráfico de drogas,Sem resposta,1098
2021,RS,Tráfico de drogas,Sem resposta,598
2021,AM,Tráfico de drogas,Sem resposta,510
2021,PR,Tráfico de drogas,Sem resposta,494
